Kabupaten/Kota,Jumlah Sekolah SMA (Negeri),Jumlah Sekolah SMA (Swasta),Jumlah Sekolah SMA (Negeri+Swasta),Jumlah Guru SMA (Negeri),Jumlah Guru SMA (Swasta),Jumlah Guru SMA (Negeri+Swasta),Jumlah Murid SMA (Negeri),Jumlah Murid SMA (Swasta),Jumlah Murid SMA (Negeri+Swasta)
Cilacap,18,24,42,797,298,1095,15340,4016,19356
Banyumas,14,24,38,809,402,1211,15561,5684,21245
Purbalingga,10,6,16,459,120,579,9198,2587,11785
Banjarnegara,8,4,12,383,44,427,7384,888,8272
Kebumen,14,9,23,593,98,691,12038,1324,13362
Purworejo,11,12,23,451,136,587,8497,812,9309
Wonosobo,9,8,17,343,186,529,6680,3175,9855
Magelang,10,27,37,505,445,950,9373,6395,15768
Boyolali,15,15,30,679,226,905,12865,2943,15808
Klaten,15,8,23,774,144,918,14833,2447,17280
Sukoharjo,10,18,28,555,375,930,9873,5529,15402
Wonogiri,13,8,21,642,85,727,10666,737,11403
Karanganyar,10,8,18,551,122,673,9641,1741,11382
Sragen,10,14,24,495,193,688,9088,2357,11445
Grobogan,11,23,34,577,325,902,11238,6937,18175
Blora,8,16,24,432,168,600,7748,1825,9573
Rembang,9,6,15,466,53,519,8537,334,8871
Pati,8,21,29,583,328,911,9808,5165,14973
Kudus,7,10,17,461,165,626,8137,2455,10592
Jepara,10,13,23,548,206,754,10155,3774,13929
Demak,12,20,32,690,269,959,12566,3805,16371
Semarang,11,15,26,512,219,731,10105,3931,14036
Temanggung,6,11,17,282,119,401,5584,1774,7358
Kendal,14,20,34,591,262,853,11415,3129,14544
Batang,7,9,16,317,104,421,5635,1040,6675
Pekalongan,11,6,17,462,98,560,8124,1299,9423
Pemalang,11,11,22,661,126,787,11539,1638,13177
Tegal,11,15,26,516,161,677,10009,1939,11948
Brebes,17,16,33,922,235,1157,17199,3484,20683
Kota Magelang,5,8,13,270,117,387,4775,969,5744
Kota Surakarta,9,24,33,473,688,1161,9237,10215,19452
Kota Salatiga,3,5,8,210,95,305,3606,1066,4672
Kota Semarang,16,54,70,911,963,1874,18216,12719,30935
Kota Pekalongan,4,6,10,192,70,262,3420,530,3950
Kota Tegal,5,5,10,277,101,378,4945,1256,6201